store_id,date,amount,discount,region,quarter
100,2024-01-01,2492.85,0.05,NY,2024Q1
100,2024-01-02,1282.18,0.09,NY,2024Q1
100,2024-01-04,1713.75,0.11,NY,2024Q1
100,2024-01-06,1020.63,0.01,NY,2024Q1
100,2024-01-07,1315.77,0.11,NY,2024Q1
100,2024-01-08,1108.02,0.07,NY,2024Q1
100,2024-01-09,1813.93,0.03,NY,2024Q1
100,2024-01-11,1541.72,0.13,NY,2024Q1
100,2024-01-13,3161.34,0.05,NY,2024Q1
100,2024-01-14,1976.55,0.11,NY,2024Q1
100,2024-01-15,529.97,0.06,NY,2024Q1
100,2024-01-16,1415.88,0.11,NY,2024Q1
100,2024-01-17,2829.33,0.09,NY,2024Q1
100,2024-01-18,1438.88,0.1,NY,2024Q1
100,2024-01-20,1647.65,0.05,NY,2024Q1
100,2024-01-21,1160.12,0.04,NY,2024Q1
100,2024-01-22,1305.91,0.04,NY,2024Q1
100,2024-01-23,1323.12,0.04,NY,2024Q1
100,2024-01-24,1891.38,0.02,NY,2024Q1
100,2024-01-25,437.28,0.05,NY,2024Q1
100,2024-01-27,745.19,0.09,NY,2024Q1
100,2024-01-28,1780.95,0.07,NY,2024Q1
100,2024-01-30,2016.86,0.08,NY,2024Q1
100,2024-01-31,1230.62,0.07,NY,2024Q1
100,2024-02-02,2038.53,0.1,NY,2024Q1
100,2024-02-03,1738.71,0.1,NY,2024Q1
100,2024-02-04,633.84,0.06,NY,2024Q1
100,2024-02-05,1020.0,0.06,NY,2024Q1
100,2024-02-07,737.15,0.03,NY,2024Q1
100,2024-02-08,1675.74,0.07,NY,2024Q1
100,2024-02-09,1806.09,0.11,NY,2024Q1
100,2024-02-10,1686.9,0.04,NY,2024Q1
100,2024-02-11,2271.23,0.05,NY,2024Q1
100,2024-02-12,1538.31,0.04,NY,2024Q1
100,2024-02-14,2073.16,0.07,NY,2024Q1
100,2024-02-15,852.42,0.11,NY,2024Q1
100,2024-02-16,1794.05,0.09,NY,2024Q1
100,2024-02-18,1796.84,0.07,NY,2024Q1
100,2024-02-19,1548.77,0.07,NY,2024Q1
100,2024-02-20,313.76,0.1,NY,2024Q1
100,2024-02-21,2623.86,0.1,NY,2024Q1
100,2024-02-22,1516.18,0.08,NY,2024Q1
100,2024-02-23,1933.7,0.07,NY,2024Q1
100,2024-02-24,491.77,0.1,NY,2024Q1
100,2024-02-26,280.2,0.13,NY,2024Q1
100,2024-02-27,1820.88,0.1,NY,2024Q1
100,2024-02-28,2455.6,0.07,NY,2024Q1
100,2024-02-29,2089.59,0.05,NY,2024Q1
100,2024-03-01,1580.82,0.07,NY,2024Q1
100,2024-03-03,1048.63,0.08,NY,2024Q1
100,2024-03-04,1025.47,0.07,NY,2024Q1
100,2024-03-05,1673.71,0.04,NY,2024Q1
100,2024-03-07,0.0,0.07,NY,2024Q1
100,2024-03-08,1537.96,0.1,NY,2024Q1
100,2024-03-10,979.04,0.07,NY,2024Q1
100,2024-03-12,1423.39,0.07,NY,2024Q1
100,2024-03-14,1735.07,0.05,NY,2024Q1
100,2024-03-16,1762.18,0.07,NY,2024Q1
100,2024-03-18,1100.75,0.09,NY,2024Q1
100,2024-03-19,945.92,0.04,NY,2024Q1
100,2024-03-20,1656.71,0.1,NY,2024Q1
100,2024-03-22,1252.82,0.02,NY,2024Q1
100,2024-03-23,2117.65,0.09,NY,2024Q1
100,2024-03-24,1038.38,0.07,NY,2024Q1
100,2024-03-25,1513.71,0.09,NY,2024Q1
100,2024-03-26,1771.39,0.0,NY,2024Q1
100,2024-03-27,1485.46,0.11,NY,2024Q1
100,2024-03-28,1159.17,0.1,NY,2024Q1
100,2024-03-29,1296.52,0.11,NY,2024Q1
100,2024-03-30,1579.41,0.08,NY,2024Q1
100,2024-03-31,1938.58,0.05,NY,2024Q1
100,2024-04-01,3050.28,0.11,NY,2024Q2
100,2024-04-02,969.3,0.05,NY,2024Q2
100,2024-04-03,640.44,0.06,NY,2024Q2
100,2024-04-04,1791.71,0.01,NY,2024Q2
100,2024-04-06,1357.6,0.06,NY,2024Q2
100,2024-04-07,1440.48,0.08,NY,2024Q2
100,2024-04-08,1493.59,0.03,NY,2024Q2
100,2024-04-09,1056.58,0.09,NY,2024Q2
100,2024-04-11,795.22,0.09,NY,2024Q2
100,2024-04-13,1094.78,0.1,NY,2024Q2
100,2024-04-14,860.27,0.14,NY,2024Q2
100,2024-04-15,1684.41,0.06,NY,2024Q2
100,2024-04-16,1331.86,0.11,NY,2024Q2
100,2024-04-17,1482.72,0.03,NY,2024Q2
100,2024-04-19,2444.05,0.09,NY,2024Q2
100,2024-04-20,1550.7,0.09,NY,2024Q2
100,2024-04-21,1491.92,0.1,NY,2024Q2
100,2024-04-22,1272.99,0.07,NY,2024Q2
100,2024-04-23,1344.01,0.04,NY,2024Q2
100,2024-04-24,1852.71,0.09,NY,2024Q2
100,2024-04-26,1154.49,0.08,NY,2024Q2
100,2024-04-27,999.17,0.03,NY,2024Q2
100,2024-04-28,1379.96,0.08,NY,2024Q2
100,2024-04-30,1911.35,0.07,NY,2024Q2
100,2024-05-01,1566.8,0.11,NY,2024Q2
100,2024-05-03,1012.58,0.06,NY,2024Q2
100,2024-05-04,1692.83,0.06,NY,2024Q2
100,2024-05-05,0.0,0.15,NY,2024Q2
100,2024-05-06,916.36,0.09,NY,2024Q2
100,2024-05-07,1093.69,0.08,NY,2024Q2
100,2024-05-08,1989.9,0.07,NY,2024Q2
100,2024-05-10,1087.79,0.03,NY,2024Q2
100,2024-05-12,1451.94,0.05,NY,2024Q2
100,2024-05-13,1179.46,0.07,NY,2024Q2
100,2024-05-14,393.0,0.09,NY,2024Q2
100,2024-05-15,695.96,0.08,NY,2024Q2
100,2024-05-16,1349.99,0.04,NY,2024Q2
100,2024-05-17,1850.48,0.09,NY,2024Q2
100,2024-05-18,1366.73,0.06,NY,2024Q2
100,2024-05-20,2096.27,0.11,NY,2024Q2
100,2024-05-21,926.71,0.08,NY,2024Q2
100,2024-05-22,1245.17,0.08,NY,2024Q2
100,2024-05-24,1532.12,0.1,NY,2024Q2
100,2024-05-25,1006.75,0.03,NY,2024Q2
100,2024-05-26,1894.76,0.1,NY,2024Q2
100,2024-05-27,1347.51,0.04,NY,2024Q2
100,2024-05-28,1590.93,0.02,NY,2024Q2
100,2024-05-29,883.56,0.06,NY,2024Q2
100,2024-05-30,796.21,0.02,NY,2024Q2
100,2024-05-31,1012.85,0.06,NY,2024Q2
100,2024-06-01,1379.95,0.05,NY,2024Q2
100,2024-06-02,1996.27,0.07,NY,2024Q2
100,2024-06-03,50.6,0.07,NY,2024Q2
100,2024-06-04,1752.58,0.1,NY,2024Q2
100,2024-06-05,396.83,0.03,NY,2024Q2
100,2024-06-06,2498.24,0.08,NY,2024Q2
100,2024-06-08,782.29,0.06,NY,2024Q2
100,2024-06-09,1891.69,0.1,NY,2024Q2
100,2024-06-11,2073.56,0.07,NY,2024Q2
100,2024-06-12,2157.93,0.0,NY,2024Q2
100,2024-06-13,1645.89,0.09,NY,2024Q2
100,2024-06-14,1279.61,0.06,NY,2024Q2
100,2024-06-15,672.13,0.07,NY,2024Q2
100,2024-06-16,1501.89,0.11,NY,2024Q2
100,2024-06-17,1268.78,0.1,NY,2024Q2
100,2024-06-19,664.41,0.11,NY,2024Q2
100,2024-06-20,1156.8,0.13,NY,2024Q2
100,2024-06-21,2548.88,0.1,NY,2024Q2
100,2024-06-22,2339.12,0.12,NY,2024Q2
100,2024-06-23,1793.36,0.06,NY,2024Q2
100,2024-06-24,1062.13,0.07,NY,2024Q2
100,2024-06-26,1696.11,0.03,NY,2024Q2
100,2024-06-27,1550.63,0.04,NY,2024Q2
100,2024-06-28,819.43,0.07,NY,2024Q2
100,2024-06-29,2106.1,0.03,NY,2024Q2
100,2024-06-30,936.32,0.1,NY,2024Q2
100,2024-07-01,862.1,0.08,NY,2024Q3
100,2024-07-03,256.62,0.04,NY,2024Q3
100,2024-07-05,2238.83,0.02,NY,2024Q3
100,2024-07-06,1733.76,0.0,NY,2024Q3
100,2024-07-08,950.56,0.1,NY,2024Q3
100,2024-07-09,1586.94,0.08,NY,2024Q3
100,2024-07-10,1163.93,0.06,NY,2024Q3
100,2024-07-11,1615.56,0.14,NY,2024Q3
100,2024-07-12,1419.84,0.05,NY,2024Q3
100,2024-07-14,973.53,0.0,NY,2024Q3
100,2024-07-15,625.43,0.05,NY,2024Q3
100,2024-07-16,1984.82,0.04,NY,2024Q3
100,2024-07-18,2379.35,0.06,NY,2024Q3
100,2024-07-19,911.34,0.05,NY,2024Q3
100,2024-07-20,2174.57,0.11,NY,2024Q3
100,2024-07-21,1059.46,0.07,NY,2024Q3
100,2024-07-22,2509.36,0.05,NY,2024Q3
100,2024-07-23,1166.73,0.07,NY,2024Q3
100,2024-07-24,1327.44,0.11,NY,2024Q3
100,2024-07-25,237.15,0.13,NY,2024Q3
100,2024-07-26,891.22,0.05,NY,2024Q3
100,2024-07-27,543.62,0.06,NY,2024Q3
100,2024-07-28,681.99,0.09,NY,2024Q3
100,2024-07-30,880.82,0.06,NY,2024Q3
100,2024-07-31,771.35,0.08,NY,2024Q3
100,2024-08-02,1639.49,0.1,NY,2024Q3
100,2024-08-04,2125.84,0.11,NY,2024Q3
100,2024-08-05,2811.06,0.05,NY,2024Q3
100,2024-08-06,1340.77,0.11,NY,2024Q3
100,2024-08-08,2404.81,0.05,NY,2024Q3
100,2024-08-09,1394.03,0.04,NY,2024Q3
100,2024-08-10,255.31,0.07,NY,2024Q3
100,2024-08-11,1430.81,0.09,NY,2024Q3
100,2024-08-13,1367.02,0.08,NY,2024Q3
100,2024-08-15,1563.2,0.08,NY,2024Q3
100,2024-08-17,770.05,0.04,NY,2024Q3
100,2024-08-18,2125.05,0.04,NY,2024Q3
100,2024-08-19,2063.99,0.06,NY,2024Q3
100,2024-08-20,1273.25,0.05,NY,2024Q3
100,2024-08-22,1946.19,0.06,NY,2024Q3
100,2024-08-23,1107.89,0.1,NY,2024Q3
100,2024-08-25,1084.28,0.07,NY,2024Q3
100,2024-08-26,966.45,0.08,NY,2024Q3
100,2024-08-27,1865.72,0.02,NY,2024Q3
100,2024-08-28,961.82,0.1,NY,2024Q3
100,2024-08-29,2426.22,0.07,NY,2024Q3
100,2024-08-30,831.93,0.12,NY,2024Q3
100,2024-08-31,1550.68,0.04,NY,2024Q3
100,2024-09-01,908.04,0.1,NY,2024Q3
100,2024-09-03,1551.86,0.06,NY,2024Q3
100,2024-09-04,474.16,0.05,NY,2024Q3
100,2024-09-06,407.54,0.05,NY,2024Q3
100,2024-09-07,1116.16,0.07,NY,2024Q3
100,2024-09-08,1200.17,0.07,NY,2024Q3
100,2024-09-09,2637.62,0.07,NY,2024Q3
100,2024-09-10,1039.88,0.07,NY,2024Q3
100,2024-09-11,1339.16,0.03,NY,2024Q3
100,2024-09-12,1519.5,0.09,NY,2024Q3
100,2024-09-14,2478.44,0.08,NY,2024Q3
100,2024-09-16,1211.61,0.15,NY,2024Q3
100,2024-09-17,1739.1,0.07,NY,2024Q3
100,2024-09-19,1887.02,0.07,NY,2024Q3
100,2024-09-21,1311.6,0.08,NY,2024Q3
101,2024-01-01,550.54,0.09,TX,2024Q1
101,2024-01-02,1147.35,0.03,TX,2024Q1
101,2024-01-03,1304.9,0.04,TX,2024Q1
101,2024-01-04,1547.9,0.04,TX,2024Q1
101,2024-01-05,1335.76,0.07,TX,2024Q1
101,2024-01-07,733.89,0.1,TX,2024Q1
101,2024-01-09,1297.77,0.07,TX,2024Q1
101,2024-01-11,2309.03,0.09,TX,2024Q1
101,2024-01-12,1084.59,0.05,TX,2024Q1
101,2024-01-13,1553.22,0.08,TX,2024Q1
101,2024-01-14,1245.06,0.1,TX,2024Q1
101,2024-01-15,1260.11,0.09,TX,2024Q1
101,2024-01-16,1425.43,0.06,TX,2024Q1
101,2024-01-17,1065.85,0.07,TX,2024Q1
101,2024-01-18,766.69,0.08,TX,2024Q1
101,2024-01-19,339.82,0.09,TX,2024Q1
101,2024-01-20,978.43,0.07,TX,2024Q1
101,2024-01-21,811.27,0.09,TX,2024Q1
101,2024-01-22,341.49,0.05,TX,2024Q1
101,2024-01-23,373.67,0.07,TX,2024Q1
101,2024-01-24,1976.76,0.1,TX,2024Q1
101,2024-01-25,1877.26,0.06,TX,2024Q1
101,2024-01-26,904.77,0.05,TX,2024Q1
